SUB_CRITERIO;CRITERIO;FECHA_INMUNIZACION;1aDOSIS1;2aDOSIS1
Adm. apoyo no clinico FFAA y de orden;Personal de salud;17/03/2021;72;182
Adm. apoyo no clinico FFAA y de orden;Personal de salud;18/03/2021;49;110
Adm. apoyo no clinico FFAA y de orden;Personal de salud;19/03/2021;50;97
Adm. apoyo no clinico FFAA y de orden;Personal de salud;20/03/2021;2;5
Adm. apoyo no clinico FFAA y de orden;Personal de salud;21/03/2021;1;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;22/03/2021;29;85
Adm. apoyo no clinico FFAA y de orden;Personal de salud;23/03/2021;20;65
Adm. apoyo no clinico FFAA y de orden;Personal de salud;24/03/2021;29;56
Adm. apoyo no clinico FFAA y de orden;Personal de salud;25/03/2021;33;60
Adm. apoyo no clinico FFAA y de orden;Personal de salud;26/03/2021;184;44
Adm. apoyo no clinico FFAA y de orden;Personal de salud;27/03/2021;4;2
Adm. apoyo no clinico FFAA y de orden;Personal de salud;29/03/2021;20;71
Adm. apoyo no clinico FFAA y de orden;Personal de salud;30/03/2021;22;124
Adm. apoyo no clinico FFAA y de orden;Personal de salud;31/03/2021;9;71
Adm. apoyo no clinico FFAA y de orden;Personal de salud;01/04/2021;13;72
Adm. apoyo no clinico FFAA y de orden;Personal de salud;03/04/2021;;1
Adm. apoyo no clinico FFAA y de orden;Personal de salud;05/04/2021;16;67
Adm. apoyo no clinico FFAA y de orden;Personal de salud;06/04/2021;24;51
Adm. apoyo no clinico FFAA y de orden;Personal de salud;07/04/2021;5;45
Adm. apoyo no clinico FFAA y de orden;Personal de salud;08/04/2021;19;70
Administración del Estado;Personas Servicios esenciales del estado;;;
Administración del Estado;Personas Servicios esenciales del estado;15/01/2021;10;
Administración del Estado;Personas Servicios esenciales del estado;21/01/2021;16;
Administración del Estado;Personas Servicios esenciales del estado;22/01/2021;10;
Administración del Estado;Personas Servicios esenciales del estado;26/01/2021;10;
Administración del Estado;Personas Servicios esenciales del estado;03/02/2021;12;
Administración del Estado;Personas Servicios esenciales del estado;04/02/2021;50;
Administración del Estado;Personas Servicios esenciales del estado;05/02/2021;59;10
Administración del Estado;Personas Servicios esenciales del estado;06/02/2021;28;
Administración del Estado;Personas Servicios esenciales del estado;07/02/2021;4;
Administración del Estado;Personas Servicios esenciales del estado;08/02/2021;4769;
Administración del Estado;Personas Servicios esenciales del estado;09/02/2021;10585;
Administración del Estado;Personas Servicios esenciales del estado;10/02/2021;13697;
Administración del Estado;Personas Servicios esenciales del estado;11/02/2021;15861;15
Administración del Estado;Personas Servicios esenciales del estado;12/02/2021;14531;11
Administración del Estado;Personas Servicios esenciales del estado;13/02/2021;1737;
Administración del Estado;Personas Servicios esenciales del estado;14/02/2021;225;
Administración del Estado;Personas Servicios esenciales del estado;15/02/2021;10742;
Administración del Estado;Personas Servicios esenciales del estado;16/02/2021;10194;10
Administración del Estado;Personas Servicios esenciales del estado;17/02/2021;8820;
Administración del Estado;Personas Servicios esenciales del estado;18/02/2021;9102;
Administración del Estado;Personas Servicios esenciales del estado;19/02/2021;7276;
Administración del Estado;Personas Servicios esenciales del estado;20/02/2021;201;
Administración del Estado;Personas Servicios esenciales del estado;21/02/2021;7;
Administración del Estado;Personas Servicios esenciales del estado;22/02/2021;2817;
Administración del Estado;Personas Servicios esenciales del estado;23/02/2021;2364;
Administración del Estado;Personas Servicios esenciales del estado;24/02/2021;2305;
Administración del Estado;Personas Servicios esenciales del estado;25/02/2021;2046;8
Administración del Estado;Personas Servicios esenciales del estado;26/02/2021;2147;
Administración del Estado;Personas Servicios esenciales del estado;27/02/2021;495;
Administración del Estado;Personas Servicios esenciales del estado;28/02/2021;2;
Administración del Estado;Personas Servicios esenciales del estado;01/03/2021;1388;
Administración del Estado;Personas Servicios esenciales del estado;02/03/2021;1242;
Administración del Estado;Personas Servicios esenciales del estado;03/03/2021;1211;11
Administración del Estado;Personas Servicios esenciales del estado;04/03/2021;1295;30
Administración del Estado;Personas Servicios esenciales del estado;05/03/2021;1457;68
Administración del Estado;Personas Servicios esenciales del estado;06/03/2021;46;41
Administración del Estado;Personas Servicios esenciales del estado;07/03/2021;14;13
Administración del Estado;Personas Servicios esenciales del estado;08/03/2021;1169;4446
Administración del Estado;Personas Servicios esenciales del estado;09/03/2021;1943;9704
Administración del Estado;Personas Servicios esenciales del estado;10/03/2021;2043;12803
Administración del Estado;Personas Servicios esenciales del estado;11/03/2021;2551;15393
Administración del Estado;Personas Servicios esenciales del estado;12/03/2021;2817;13918
Administración del Estado;Personas Servicios esenciales del estado;13/03/2021;158;1307
Administración del Estado;Personas Servicios esenciales del estado;14/03/2021;10;157
Administración del Estado;Personas Servicios esenciales del estado;15/03/2021;1454;11023
Administración del Estado;Personas Servicios esenciales del estado;16/03/2021;1691;10353
Administración del Estado;Personas Servicios esenciales del estado;17/03/2021;2040;9202
Administración del Estado;Personas Servicios esenciales del estado;18/03/2021;2334;9066
Administración del Estado;Personas Servicios esenciales del estado;19/03/2021;1581;7393
Administración del Estado;Personas Servicios esenciales del estado;20/03/2021;207;224
Administración del Estado;Personas Servicios esenciales del estado;21/03/2021;9;14
Administración del Estado;Personas Servicios esenciales del estado;22/03/2021;2223;3620
Administración del Estado;Personas Servicios esenciales del estado;23/03/2021;2720;2462
Administración del Estado;Personas Servicios esenciales del estado;24/03/2021;2737;2358
Administración del Estado;Personas Servicios esenciales del estado;25/03/2021;2624;1821
Administración del Estado;Personas Servicios esenciales del estado;26/03/2021;3267;1745
Administración del Estado;Personas Servicios esenciales del estado;27/03/2021;106;88
Administración del Estado;Personas Servicios esenciales del estado;28/03/2021;15;3
Administración del Estado;Personas Servicios esenciales del estado;29/03/2021;1257;1538
Administración del Estado;Personas Servicios esenciales del estado;30/03/2021;1412;1322
Administración del Estado;Personas Servicios esenciales del estado;31/03/2021;996;1318
Administración del Estado;Personas Servicios esenciales del estado;01/04/2021;744;1586
Administración del Estado;Personas Servicios esenciales del estado;02/04/2021;11;24
Administración del Estado;Personas Servicios esenciales del estado;03/04/2021;8;4
Administración del Estado;Personas Servicios esenciales del estado;04/04/2021;6;4
Administración del Estado;Personas Servicios esenciales del estado;05/04/2021;597;1976
Administración del Estado;Personas Servicios esenciales del estado;06/04/2021;668;1824
Administración del Estado;Personas Servicios esenciales del estado;07/04/2021;804;2019
Administración del Estado;Personas Servicios esenciales del estado;08/04/2021;576;1982
Administrativo de apoyo no clinico sector privado;Personal de salud;;;
Administrativo de apoyo no clinico sector privado;Personal de salud;25/12/2020;10;
Administrativo de apoyo no clinico sector privado;Personal de salud;13/01/2021;;2
Administrativo de apoyo no clinico sector privado;Personal de salud;14/01/2021;37;
Administrativo de apoyo no clinico sector privado;Personal de salud;15/01/2021;33;7
Administrativo de apoyo no clinico sector privado;Personal de salud;18/01/2021;50;
Administrativo de apoyo no clinico sector privado;Personal de salud;19/01/2021;42;
Administrativo de apoyo no clinico sector privado;Personal de salud;20/01/2021;63;
Administrativo de apoyo no clinico sector privado;Personal de salud;21/01/2021;204;
Administrativo de apoyo no clinico sector privado;Personal de salud;02/02/2021;95;
Administrativo de apoyo no clinico sector privado;Personal de salud;03/02/2021;1634;
Administrativo de apoyo no clinico sector privado;Personal de salud;04/02/2021;1283;43
Administrativo de apoyo no clinico sector privado;Personal de salud;05/02/2021;1799;26
Administrativo de apoyo no clinico sector privado;Personal de salud;06/02/2021;206;
Administrativo de apoyo no clinico sector privado;Personal de salud;07/02/2021;92;
Administrativo de apoyo no clinico sector privado;Personal de salud;08/02/2021;1186;54
Administrativo de apoyo no clinico sector privado;Personal de salud;09/02/2021;1561;31
Administrativo de apoyo no clinico sector privado;Personal de salud;10/02/2021;1459;87
Administrativo de apoyo no clinico sector privado;Personal de salud;11/02/2021;1583;180
Administrativo de apoyo no clinico sector privado;Personal de salud;12/02/2021;1351;3
Administrativo de apoyo no clinico sector privado;Personal de salud;13/02/2021;428;
Administrativo de apoyo no clinico sector privado;Personal de salud;14/02/2021;5;
Administrativo de apoyo no clinico sector privado;Personal de salud;15/02/2021;1135;
Administrativo de apoyo no clinico sector privado;Personal de salud;16/02/2021;1052;
Administrativo de apoyo no clinico sector privado;Personal de salud;17/02/2021;1075;
Administrativo de apoyo no clinico sector privado;Personal de salud;18/02/2021;836;
Administrativo de apoyo no clinico sector privado;Personal de salud;19/02/2021;822;
Administrativo de apoyo no clinico sector privado;Personal de salud;20/02/2021;26;
Administrativo de apoyo no clinico sector privado;Personal de salud;21/02/2021;4;
Administrativo de apoyo no clinico sector privado;Personal de salud;22/02/2021;483;
Administrativo de apoyo no clinico sector privado;Personal de salud;23/02/2021;755;
Administrativo de apoyo no clinico sector privado;Personal de salud;24/02/2021;291;
Administrativo de apoyo no clinico sector privado;Personal de salud;25/02/2021;278;1
Administrativo de apoyo no clinico sector privado;Personal de salud;26/02/2021;402;4
Administrativo de apoyo no clinico sector privado;Personal de salud;27/02/2021;12;
Administrativo de apoyo no clinico sector privado;Personal de salud;28/02/2021;1;
Administrativo de apoyo no clinico sector privado;Personal de salud;01/03/2021;282;1
Administrativo de apoyo no clinico sector privado;Personal de salud;02/03/2021;177;94
Administrativo de apoyo no clinico sector privado;Personal de salud;03/03/2021;184;1465
Administrativo de apoyo no clinico sector privado;Personal de salud;04/03/2021;250;1247
Administrativo de apoyo no clinico sector privado;Personal de salud;05/03/2021;293;1628
Administrativo de apoyo no clinico sector privado;Personal de salud;06/03/2021;15;176
Administrativo de apoyo no clinico sector privado;Personal de salud;07/03/2021;2;70
Administrativo de apoyo no clinico sector privado;Personal de salud;08/03/2021;172;1051
Administrativo de apoyo no clinico sector privado;Personal de salud;09/03/2021;188;1603
Administrativo de apoyo no clinico sector privado;Personal de salud;10/03/2021;211;1424
Administrativo de apoyo no clinico sector privado;Personal de salud;11/03/2021;271;1492
Administrativo de apoyo no clinico sector privado;Personal de salud;12/03/2021;261;1333
Administrativo de apoyo no clinico sector privado;Personal de salud;13/03/2021;28;320
Administrativo de apoyo no clinico sector privado;Personal de salud;14/03/2021;1;7
Administrativo de apoyo no clinico sector privado;Personal de salud;15/03/2021;250;1133
Administrativo de apoyo no clinico sector privado;Personal de salud;16/03/2021;271;1080
Administrativo de apoyo no clinico sector privado;Personal de salud;17/03/2021;294;969
Administrativo de apoyo no clinico sector privado;Personal de salud;18/03/2021;212;777
Administrativo de apoyo no clinico sector privado;Personal de salud;19/03/2021;302;1027
Administrativo de apoyo no clinico sector privado;Personal de salud;20/03/2021;23;260
Administrativo de apoyo no clinico sector privado;Personal de salud;21/03/2021;3;8
Administrativo de apoyo no clinico sector privado;Personal de salud;22/03/2021;203;561
Administrativo de apoyo no clinico sector privado;Personal de salud;23/03/2021;205;742
Administrativo de apoyo no clinico sector privado;Personal de salud;24/03/2021;241;304
Administrativo de apoyo no clinico sector privado;Personal de salud;25/03/2021;253;265
Administrativo de apoyo no clinico sector privado;Personal de salud;26/03/2021;178;250
Administrativo de apoyo no clinico sector privado;Personal de salud;27/03/2021;15;11
Administrativo de apoyo no clinico sector privado;Personal de salud;28/03/2021;;2
Administrativo de apoyo no clinico sector privado;Personal de salud;29/03/2021;108;217
Administrativo de apoyo no clinico sector privado;Personal de salud;30/03/2021;119;269
Administrativo de apoyo no clinico sector privado;Personal de salud;31/03/2021;137;200
Administrativo de apoyo no clinico sector privado;Personal de salud;01/04/2021;111;304
Administrativo de apoyo no clinico sector privado;Personal de salud;02/04/2021;3;9
Administrativo de apoyo no clinico sector privado;Personal de salud;03/04/2021;2;
Administrativo de apoyo no clinico sector privado;Personal de salud;04/04/2021;;1
Administrativo de apoyo no clinico sector privado;Personal de salud;05/04/2021;96;280
Administrativo de apoyo no clinico sector privado;Personal de salud;06/04/2021;63;237
Administrativo de apoyo no clinico sector privado;Personal de salud;07/04/2021;62;216
Administrativo de apoyo no clinico sector privado;Personal de salud;08/04/2021;71;261
Administrativo de apoyo no clinico sector público;Personal de salud;;;
Administrativo de apoyo no clinico sector público;Personal de salud;24/12/2020;1;
Administrativo de apoyo no clinico sector público;Personal de salud;25/12/2020;22;
Administrativo de apoyo no clinico sector público;Personal de salud;26/12/2020;14;
Administrativo de apoyo no clinico sector público;Personal de salud;27/12/2020;1;
Administrativo de apoyo no clinico sector público;Personal de salud;05/01/2021;1;
Administrativo de apoyo no clinico sector público;Personal de salud;14/01/2021;23;35
Administrativo de apoyo no clinico sector público;Personal de salud;15/01/2021;5;3
Administrativo de apoyo no clinico sector público;Personal de salud;18/01/2021;193;
Administrativo de apoyo no clinico sector público;Personal de salud;19/01/2021;401;
Administrativo de apoyo no clinico sector público;Personal de salud;20/01/2021;272;
Administrativo de apoyo no clinico sector público;Personal de salud;21/01/2021;45;
Administrativo de apoyo no clinico sector público;Personal de salud;22/01/2021;5;
Administrativo de apoyo no clinico sector público;Personal de salud;25/01/2021;;1
Administrativo de apoyo no clinico sector público;Personal de salud;02/02/2021;196;
Administrativo de apoyo no clinico sector público;Personal de salud;03/02/2021;2562;
Administrativo de apoyo no clinico sector público;Personal de salud;04/02/2021;1570;26
Administrativo de apoyo no clinico sector público;Personal de salud;05/02/2021;1939;
Administrativo de apoyo no clinico sector público;Personal de salud;06/02/2021;484;
Administrativo de apoyo no clinico sector público;Personal de salud;07/02/2021;52;
Administrativo de apoyo no clinico sector público;Personal de salud;08/02/2021;1921;182
Administrativo de apoyo no clinico sector público;Personal de salud;09/02/2021;2093;455
Administrativo de apoyo no clinico sector público;Personal de salud;10/02/2021;1952;228
Administrativo de apoyo no clinico sector público;Personal de salud;11/02/2021;2293;39
Administrativo de apoyo no clinico sector público;Personal de salud;12/02/2021;1454;
Administrativo de apoyo no clinico sector público;Personal de salud;13/02/2021;434;2
Administrativo de apoyo no clinico sector público;Personal de salud;14/02/2021;6;
Administrativo de apoyo no clinico sector público;Personal de salud;15/02/2021;1206;
Administrativo de apoyo no clinico sector público;Personal de salud;16/02/2021;1328;
Administrativo de apoyo no clinico sector público;Personal de salud;17/02/2021;870;
Administrativo de apoyo no clinico sector público;Personal de salud;18/02/2021;1106;
Administrativo de apoyo no clinico sector público;Personal de salud;19/02/2021;587;
Administrativo de apoyo no clinico sector público;Personal de salud;20/02/2021;56;
Administrativo de apoyo no clinico sector público;Personal de salud;21/02/2021;7;
Administrativo de apoyo no clinico sector público;Personal de salud;22/02/2021;369;
Administrativo de apoyo no clinico sector público;Personal de salud;23/02/2021;333;1
Administrativo de apoyo no clinico sector público;Personal de salud;24/02/2021;245;2
Administrativo de apoyo no clinico sector público;Personal de salud;25/02/2021;246;
Administrativo de apoyo no clinico sector público;Personal de salud;26/02/2021;289;
Administrativo de apoyo no clinico sector público;Personal de salud;27/02/2021;93;
Administrativo de apoyo no clinico sector público;Personal de salud;01/03/2021;269;3
Administrativo de apoyo no clinico sector público;Personal de salud;02/03/2021;270;191
Administrativo de apoyo no clinico sector público;Personal de salud;03/03/2021;264;2324
Administrativo de apoyo no clinico sector público;Personal de salud;04/03/2021;269;1643
Administrativo de apoyo no clinico sector público;Personal de salud;05/03/2021;313;1717
Administrativo de apoyo no clinico sector público;Personal de salud;06/03/2021;62;307
Administrativo de apoyo no clinico sector público;Personal de salud;07/03/2021;;33
Administrativo de apoyo no clinico sector público;Personal de salud;08/03/2021;203;1770
Administrativo de apoyo no clinico sector público;Personal de salud;09/03/2021;228;2132
Administrativo de apoyo no clinico sector público;Personal de salud;10/03/2021;225;1851
Administrativo de apoyo no clinico sector público;Personal de salud;11/03/2021;257;2212
Administrativo de apoyo no clinico sector público;Personal de salud;12/03/2021;215;1469
Administrativo de apoyo no clinico sector público;Personal de salud;13/03/2021;31;369
Administrativo de apoyo no clinico sector público;Personal de salud;14/03/2021;2;16
Administrativo de apoyo no clinico sector público;Personal de salud;15/03/2021;248;1265
Administrativo de apoyo no clinico sector público;Personal de salud;16/03/2021;237;1329
Administrativo de apoyo no clinico sector público;Personal de salud;17/03/2021;228;987
Administrativo de apoyo no clinico sector público;Personal de salud;18/03/2021;222;1079
Administrativo de apoyo no clinico sector público;Personal de salud;19/03/2021;225;684
Administrativo de apoyo no clinico sector público;Personal de salud;20/03/2021;17;64
Administrativo de apoyo no clinico sector público;Personal de salud;21/03/2021;2;9
Administrativo de apoyo no clinico sector público;Personal de salud;22/03/2021;209;500
Administrativo de apoyo no clinico sector público;Personal de salud;23/03/2021;180;418
Administrativo de apoyo no clinico sector público;Personal de salud;24/03/2021;196;257
Administrativo de apoyo no clinico sector público;Personal de salud;25/03/2021;151;175
Administrativo de apoyo no clinico sector público;Personal de salud;26/03/2021;219;259
Administrativo de apoyo no clinico sector público;Personal de salud;27/03/2021;4;14
Administrativo de apoyo no clinico sector público;Personal de salud;28/03/2021;2;
Administrativo de apoyo no clinico sector público;Personal de salud;29/03/2021;143;248
Administrativo de apoyo no clinico sector público;Personal de salud;30/03/2021;142;269
Administrativo de apoyo no clinico sector público;Personal de salud;31/03/2021;106;245
Administrativo de apoyo no clinico sector público;Personal de salud;01/04/2021;122;274
Administrativo de apoyo no clinico sector público;Personal de salud;02/04/2021;;9
Administrativo de apoyo no clinico sector público;Personal de salud;03/04/2021;3;4
Administrativo de apoyo no clinico sector público;Personal de salud;05/04/2021;130;415
Administrativo de apoyo no clinico sector público;Personal de salud;06/04/2021;75;270
Administrativo de apoyo no clinico sector público;Personal de salud;07/04/2021;60;249
Administrativo de apoyo no clinico sector público;Personal de salud;08/04/2021;61;237
Alumnos en práctica sector público;Personal de salud;;;
Alumnos en práctica sector público;Personal de salud;25/12/2020;6;
Alumnos en práctica sector público;Personal de salud;26/12/2020;1;
Alumnos en práctica sector público;Personal de salud;05/01/2021;1;
Alumnos en práctica sector público;Personal de salud;14/01/2021;1;7
Alumnos en práctica sector público;Personal de salud;18/01/2021;32;
Alumnos en práctica sector público;Personal de salud;19/01/2021;114;
Alumnos en práctica sector público;Personal de salud;20/01/2021;99;
Alumnos en práctica sector público;Personal de salud;21/01/2021;54;
Alumnos en práctica sector público;Personal de salud;22/01/2021;4;
Alumnos en práctica sector público;Personal de salud;25/01/2021;;1
Alumnos en práctica sector público;Personal de salud;02/02/2021;200;
Alumnos en práctica sector público;Personal de salud;03/02/2021;2184;
Alumnos en práctica sector público;Personal de salud;04/02/2021;2031;1
Alumnos en práctica sector público;Personal de salud;05/02/2021;2204;
Alumnos en práctica sector público;Personal de salud;06/02/2021;245;
Alumnos en práctica sector público;Personal de salud;07/02/2021;33;
Alumnos en práctica sector público;Personal de salud;08/02/2021;1059;65
Alumnos en práctica sector público;Personal de salud;09/02/2021;580;99
Alumnos en práctica sector público;Personal de salud;10/02/2021;660;100
Alumnos en práctica sector público;Personal de salud;11/02/2021;509;35
Alumnos en práctica sector público;Personal de salud;12/02/2021;411;
Alumnos en práctica sector público;Personal de salud;13/02/2021;61;2
Alumnos en práctica sector público;Personal de salud;14/02/2021;9;
Alumnos en práctica sector público;Personal de salud;15/02/2021;580;
Alumnos en práctica sector público;Personal de salud;16/02/2021;563;
Alumnos en práctica sector público;Personal de salud;17/02/2021;327;
Alumnos en práctica sector público;Personal de salud;18/02/2021;300;
Alumnos en práctica sector público;Personal de salud;19/02/2021;238;
Alumnos en práctica sector público;Personal de salud;20/02/2021;10;
Alumnos en práctica sector público;Personal de salud;21/02/2021;2;
Alumnos en práctica sector público;Personal de salud;22/02/2021;200;
Alumnos en práctica sector público;Personal de salud;23/02/2021;131;
Alumnos en práctica sector público;Personal de salud;24/02/2021;143;
Alumnos en práctica sector público;Personal de salud;25/02/2021;149;1
Alumnos en práctica sector público;Personal de salud;26/02/2021;140;
Alumnos en práctica sector público;Personal de salud;27/02/2021;11;
Alumnos en práctica sector público;Personal de salud;28/02/2021;1;
Alumnos en práctica sector público;Personal de salud;01/03/2021;184;1
Alumnos en práctica sector público;Personal de salud;02/03/2021;202;151
Alumnos en práctica sector público;Personal de salud;03/03/2021;425;1958
Alumnos en práctica sector público;Personal de salud;04/03/2021;474;1892
Alumnos en práctica sector público;Personal de salud;05/03/2021;493;2100
Alumnos en práctica sector público;Personal de salud;06/03/2021;45;231
Alumnos en práctica sector público;Personal de salud;07/03/2021;5;29
Alumnos en práctica sector público;Personal de salud;08/03/2021;393;1102
Alumnos en práctica sector público;Personal de salud;09/03/2021;348;667
Alumnos en práctica sector público;Personal de salud;10/03/2021;327;648
Alumnos en práctica sector público;Personal de salud;11/03/2021;296;560
Alumnos en práctica sector público;Personal de salud;12/03/2021;382;459
Alumnos en práctica sector público;Personal de salud;13/03/2021;47;47
Alumnos en práctica sector público;Personal de salud;14/03/2021;4;9
Alumnos en práctica sector público;Personal de salud;15/03/2021;388;589
Alumnos en práctica sector público;Personal de salud;16/03/2021;385;564
Alumnos en práctica sector público;Personal de salud;17/03/2021;391;367
Alumnos en práctica sector público;Personal de salud;18/03/2021;398;364
Alumnos en práctica sector público;Personal de salud;19/03/2021;439;265
Alumnos en práctica sector público;Personal de salud;20/03/2021;50;15
Alumnos en práctica sector público;Personal de salud;21/03/2021;6;3
Alumnos en práctica sector público;Personal de salud;22/03/2021;512;246
Alumnos en práctica sector público;Personal de salud;23/03/2021;444;166
Alumnos en práctica sector público;Personal de salud;24/03/2021;379;130
Alumnos en práctica sector público;Personal de salud;25/03/2021;314;120
Alumnos en práctica sector público;Personal de salud;26/03/2021;561;107
Alumnos en práctica sector público;Personal de salud;27/03/2021;31;2
Alumnos en práctica sector público;Personal de salud;28/03/2021;1;1
Alumnos en práctica sector público;Personal de salud;29/03/2021;377;162
Alumnos en práctica sector público;Personal de salud;30/03/2021;375;194
Alumnos en práctica sector público;Personal de salud;31/03/2021;333;428
Alumnos en práctica sector público;Personal de salud;01/04/2021;687;483
Alumnos en práctica sector público;Personal de salud;02/04/2021;5;5
Alumnos en práctica sector público;Personal de salud;03/04/2021;1;3
Alumnos en práctica sector público;Personal de salud;04/04/2021;5;3
Alumnos en práctica sector público;Personal de salud;05/04/2021;347;690
Alumnos en práctica sector público;Personal de salud;06/04/2021;298;373
Alumnos en práctica sector público;Personal de salud;07/04/2021;284;297
Alumnos en práctica sector público;Personal de salud;08/04/2021;379;289
Alumnos en práctica, sector privado;Personal de salud;;;
Alumnos en práctica, sector privado;Personal de salud;25/12/2020;3;
Alumnos en práctica, sector privado;Personal de salud;14/01/2021;3;3
Alumnos en práctica, sector privado;Personal de salud;15/01/2021;1;
Alumnos en práctica, sector privado;Personal de salud;18/01/2021;2;
Alumnos en práctica, sector privado;Personal de salud;19/01/2021;10;
Alumnos en práctica, sector privado;Personal de salud;20/01/2021;3;
Alumnos en práctica, sector privado;Personal de salud;21/01/2021;3;
Alumnos en práctica, sector privado;Personal de salud;02/02/2021;16;
Alumnos en práctica, sector privado;Personal de salud;03/02/2021;607;
Alumnos en práctica, sector privado;Personal de salud;04/02/2021;1031;1
Alumnos en práctica, sector privado;Personal de salud;05/02/2021;1536;2
Alumnos en práctica, sector privado;Personal de salud;06/02/2021;80;
Alumnos en práctica, sector privado;Personal de salud;07/02/2021;11;
Alumnos en práctica, sector privado;Personal de salud;08/02/2021;464;7
Alumnos en práctica, sector privado;Personal de salud;09/02/2021;385;6
Alumnos en práctica, sector privado;Personal de salud;10/02/2021;483;3
Alumnos en práctica, sector privado;Personal de salud;11/02/2021;408;2
Alumnos en práctica, sector privado;Personal de salud;12/02/2021;354;
Alumnos en práctica, sector privado;Personal de salud;13/02/2021;71;
Alumnos en práctica, sector privado;Personal de salud;14/02/2021;2;
Alumnos en práctica, sector privado;Personal de salud;15/02/2021;292;
Alumnos en práctica, sector privado;Personal de salud;16/02/2021;250;
Alumnos en práctica, sector privado;Personal de salud;17/02/2021;217;
Alumnos en práctica, sector privado;Personal de salud;18/02/2021;172;
Alumnos en práctica, sector privado;Personal de salud;19/02/2021;156;
Alumnos en práctica, sector privado;Personal de salud;20/02/2021;5;
Alumnos en práctica, sector privado;Personal de salud;21/02/2021;3;
Alumnos en práctica, sector privado;Personal de salud;22/02/2021;84;
Alumnos en práctica, sector privado;Personal de salud;23/02/2021;89;
Alumnos en práctica, sector privado;Personal de salud;24/02/2021;428;
Alumnos en práctica, sector privado;Personal de salud;25/02/2021;153;
Alumnos en práctica, sector privado;Personal de salud;26/02/2021;144;
