REGION_CORTO;COMUNA;NOMBRE_ESTAB;Laboratorio;FECHA_INMUNIZACION;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;24/06/2021;16;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;25/06/2021;17;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;26/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;29/06/2021;16;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;30/06/2021;13;2;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;01/07/2021;95;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;02/07/2021;50;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;03/07/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;05/07/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;06/07/2021;11;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;07/07/2021;74;12;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;08/07/2021;58;9;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;09/07/2021;56;3;
" Aisén Gral. C. Ibáñez Campo";Aisén;Posta de Salud Rural Caleta Andrade;Pfizer;08/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Posta de Salud Rural Puerto Aguirre;Pfizer;23/06/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Posta de Salud Rural Puerto Aguirre;Pfizer;09/07/2021;38;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Posta de Salud Rural Villa Mañihuales;Pfizer;24/06/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Posta de Salud Rural Villa Mañihuales;Pfizer;01/07/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Posta de Salud Rural Villa Mañihuales;Pfizer;06/07/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Posta de Salud Rural Villa Mañihuales;Pfizer;07/07/2021;24;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Posta de Salud Rural Villa Mañihuales;Pfizer;08/07/2021;18;;
" Aisén Gral. C. Ibáñez Campo";Chile Chico;Hospital Dr. Leopoldo Ortega R. (Chile Chico);Pfizer;23/06/2021;23;;
" Aisén Gral. C. Ibáñez Campo";Chile Chico;Hospital Dr. Leopoldo Ortega R. (Chile Chico);Pfizer;01/07/2021;28;;
" Aisén Gral. C. Ibáñez Campo";Chile Chico;Hospital Dr. Leopoldo Ortega R. (Chile Chico);Pfizer;07/07/2021;30;;
" Aisén Gral. C. Ibáñez Campo";Chile Chico;Hospital Dr. Leopoldo Ortega R. (Chile Chico);Pfizer;08/07/2021;18;;
" Aisén Gral. C. Ibáñez Campo";Chile Chico;Posta de Salud Rural Puerto Bertrand;Pfizer;01/07/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Chile Chico;Posta de Salud Rural Puerto Guadal;Pfizer;01/07/2021;30;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Centro de Salud Familiar La Junta;Pfizer;25/06/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Centro de Salud Familiar La Junta;Pfizer;02/07/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Centro de Salud Familiar La Junta;Pfizer;06/07/2021;29;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Centro de Salud Familiar La Junta;Pfizer;07/07/2021;35;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Centro de Salud Familiar La Junta;Pfizer;08/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Centro de Salud Familiar La Junta;Pfizer;09/07/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;25/06/2021;18;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;29/06/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;01/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;02/07/2021;9;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;05/07/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;06/07/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;07/07/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;08/07/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Hospital Dr. Jorge Ibar (Cisnes);Pfizer;09/07/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Posta de Salud Rural Puyuhuapi;Pfizer;08/07/2021;35;;
" Aisén Gral. C. Ibáñez Campo";Cisnes;Posta de Salud Rural Puyuhuapi;Pfizer;09/07/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;23/06/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;24/06/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;25/06/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;01/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;02/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;05/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;07/07/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;08/07/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Cochrane;Hospital Lord Cochrane;Pfizer;09/07/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;18/01/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;19/01/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;20/01/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;09/02/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;10/02/2021;;3;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;11/02/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;03/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;15/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;18/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;19/03/2021;16;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;22/03/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;23/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;24/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;29/03/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;30/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;31/03/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;01/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;03/04/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;05/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;12/04/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;14/04/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;15/04/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;16/04/2021;;11;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;19/04/2021;;6;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;20/04/2021;;4;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;21/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;22/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;26/04/2021;2;4;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;27/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;28/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;29/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;30/04/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;01/05/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;03/05/2021;;3;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;10/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;11/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;12/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;17/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;18/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;19/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;20/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;25/05/2021;1;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;26/05/2021;3;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;27/05/2021;2;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;28/05/2021;1;10;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;29/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;31/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;01/06/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;02/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;03/06/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;04/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;07/06/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;08/06/2021;7;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;09/06/2021;73;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;10/06/2021;26;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;11/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;12/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;14/06/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;15/06/2021;3;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;16/06/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;17/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;22/06/2021;15;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;23/06/2021;12;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;24/06/2021;7;3;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;25/06/2021;16;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;26/06/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;27/06/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;29/06/2021;8;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;30/06/2021;6;5;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;01/07/2021;59;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;02/07/2021;52;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;04/07/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;05/07/2021;32;4;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;06/07/2021;22;6;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;07/07/2021;68;58;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;08/07/2021;49;26;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Alejandro Gutiérrez;Pfizer;09/07/2021;34;6;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;01/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;15/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;16/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;17/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;19/03/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;22/03/2021;11;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;24/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;29/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;30/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;31/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;05/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;06/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;12/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;14/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;16/04/2021;;5;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;19/04/2021;;8;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;20/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;21/04/2021;;3;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;22/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;26/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;27/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;28/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;30/04/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;03/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;07/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;10/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;11/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;17/05/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;18/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;20/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;25/05/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;26/05/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;28/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;31/05/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;01/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;02/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;03/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;07/06/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;08/06/2021;23;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;09/06/2021;71;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;10/06/2021;44;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;11/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;14/06/2021;2;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;16/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;17/06/2021;1;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;22/06/2021;9;3;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;23/06/2021;7;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;24/06/2021;18;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;25/06/2021;20;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;26/06/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;29/06/2021;11;3;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;30/06/2021;5;2;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;01/07/2021;41;4;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;02/07/2021;81;;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;03/07/2021;15;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;04/07/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;05/07/2021;27;9;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;06/07/2021;19;20;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;07/07/2021;67;55;
" Aisén Gral. C. Ibáñez Campo";Coihaique;Consultorio Víctor Domingo Silva;Pfizer;08/07/2021;70;31;
