REGION_CORTO;SEXO;EDAD_ANOS;Laboratorio;FECHA_INMUNIZACION;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;25/06/2021;8;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;26/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;27/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;29/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;30/06/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;01/07/2021;13;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;02/07/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;05/07/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;06/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;07/07/2021;17;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;08/07/2021;16;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;09/07/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;15/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;12/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;22/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;23/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;24/06/2021;8;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;25/06/2021;13;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;26/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;27/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;29/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;30/06/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;01/07/2021;15;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;02/07/2021;14;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;03/07/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;05/07/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;06/07/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;07/07/2021;27;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;08/07/2021;28;;
" Aisén Gral. C. Ibáñez Campo";Hombre;15;Pfizer;09/07/2021;18;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;19/01/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;11/02/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;08/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;11/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;15/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;16/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;18/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;19/03/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;22/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;23/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;24/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;29/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;30/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;03/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;05/04/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;06/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;08/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;12/04/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;13/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;14/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;15/04/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;16/04/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;19/04/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;20/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;21/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;22/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;23/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;26/04/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;28/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;30/04/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;01/05/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;03/05/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;07/05/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;10/05/2021;1;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;17/05/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;18/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;20/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;25/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;26/05/2021;4;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;28/05/2021;1;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;31/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;01/06/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;03/06/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;07/06/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;08/06/2021;5;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;09/06/2021;30;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;10/06/2021;20;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;11/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;14/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;15/06/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;16/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;17/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;22/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;23/06/2021;3;4;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;24/06/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;25/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;27/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;29/06/2021;2;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;30/06/2021;3;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;01/07/2021;11;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;02/07/2021;20;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;04/07/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;05/07/2021;20;;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;06/07/2021;15;6;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;07/07/2021;92;24;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;08/07/2021;74;14;
" Aisén Gral. C. Ibáñez Campo";Hombre;16;Pfizer;09/07/2021;41;3;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;19/01/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;20/01/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;10/02/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;03/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;15/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;19/03/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;22/03/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;23/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;29/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;30/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;31/03/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;01/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;14/04/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;16/04/2021;;4;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;19/04/2021;;7;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;20/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;22/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;26/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;27/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;29/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;30/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;01/05/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;12/05/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;17/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;19/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;20/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;24/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;25/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;26/05/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;27/05/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;28/05/2021;;3;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;01/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;02/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;03/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;07/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;08/06/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;09/06/2021;34;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;10/06/2021;21;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;14/06/2021;3;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;15/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;16/06/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;17/06/2021;3;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;22/06/2021;1;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;23/06/2021;4;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;24/06/2021;5;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;25/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;29/06/2021;5;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;30/06/2021;3;3;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;01/07/2021;97;2;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;02/07/2021;58;1;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;03/07/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;04/07/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;05/07/2021;14;6;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;06/07/2021;17;7;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;07/07/2021;41;28;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;08/07/2021;33;18;
" Aisén Gral. C. Ibáñez Campo";Hombre;17;Pfizer;09/07/2021;30;4;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;22/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;23/06/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;24/06/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;25/06/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;29/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;30/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;01/07/2021;15;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;02/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;03/07/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;05/07/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;06/07/2021;16;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;07/07/2021;16;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;08/07/2021;17;;
" Aisén Gral. C. Ibáñez Campo";Mujer;12;Pfizer;09/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;22/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;23/06/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;24/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;25/06/2021;8;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;29/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;30/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;01/07/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;02/07/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;05/07/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;06/07/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;07/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;08/07/2021;20;;
" Aisén Gral. C. Ibáñez Campo";Mujer;13;Pfizer;09/07/2021;9;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;22/06/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;23/06/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;24/06/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;25/06/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;29/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;30/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;01/07/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;02/07/2021;14;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;04/07/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;05/07/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;06/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;07/07/2021;15;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;08/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Mujer;14;Pfizer;09/07/2021;9;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;22/06/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;23/06/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;24/06/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;25/06/2021;14;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;26/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;29/06/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;30/06/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;01/07/2021;13;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;02/07/2021;11;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;03/07/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;05/07/2021;8;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;06/07/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;07/07/2021;20;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;08/07/2021;24;;
" Aisén Gral. C. Ibáñez Campo";Mujer;15;Pfizer;09/07/2021;16;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;18/01/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;09/02/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;11/02/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;16/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;18/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;19/03/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;22/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;23/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;24/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;29/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;30/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;31/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;12/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;14/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;15/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;16/04/2021;;6;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;19/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;20/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;21/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;26/04/2021;1;2;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;27/04/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;28/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;01/05/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;10/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;11/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;18/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;24/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;25/05/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;26/05/2021;1;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;27/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;28/05/2021;2;4;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;29/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;31/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;01/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;08/06/2021;5;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;09/06/2021;40;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;10/06/2021;24;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;11/06/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;12/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;14/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;16/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;22/06/2021;3;2;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;23/06/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;24/06/2021;9;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;25/06/2021;14;2;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;29/06/2021;7;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;30/06/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;01/07/2021;23;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;02/07/2021;15;;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;03/07/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;05/07/2021;11;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;06/07/2021;21;5;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;07/07/2021;104;29;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;08/07/2021;80;18;
" Aisén Gral. C. Ibáñez Campo";Mujer;16;Pfizer;09/07/2021;48;9;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;20/01/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;10/02/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;01/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;03/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;17/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;19/03/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;22/03/2021;6;1;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;23/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;24/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Mujer;17;Pfizer;29/03/2021;2;;
